Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,111.728996,112.150002,110.352997,111.869003,42.033783,1024223
1996-01-02,111.728996,112.150002,109.511002,109.792000,41.253365,1695431
1996-01-03,109.792000,112.290001,109.511002,109.820000,41.263882,1351411
1996-01-04,108.079002,108.079002,103.867996,106.338997,39.955929,3478582
1996-01-05,105.046997,105.553001,103.166000,104.233002,39.164619,3013803
1996-01-08,103.587997,103.867996,99.432800,100.331001,37.698471,3675216
1996-01-09,98.253799,100.695999,98.253799,99.853897,37.519207,3696411
1996-01-10,99.853897,101.763000,98.253799,99.320503,37.318790,3592305
1996-01-11,99.376701,102.155998,99.039803,101.651001,38.194458,2771930
1996-01-12,101.651001,103.250999,100.639999,101.258003,38.046795,3159319
1996-01-15,100.639999,101.819000,100.191002,100.415001,37.730038,1335203
1996-01-16,100.415001,101.060997,99.432800,100.219002,37.656395,1946567
1996-01-17,99.376701,100.107002,96.288696,96.822098,36.380035,2551251
1996-01-18,95.474602,96.148300,93.200699,94.772797,35.610043,3193071
1996-01-19,93.621803,95.109596,93.200699,93.958702,35.304138,2007837
1996-01-22,94.885101,95.811401,93.902496,94.941200,35.673306,1528898
1996-01-23,94.183197,95.334198,89.832001,91.179497,34.259872,1675216
1996-01-24,91.179497,103.250999,88.428398,89.944298,33.795765,2070888
1996-01-25,89.832001,90.140800,87.445801,88.007301,33.067959,1592038
1996-01-26,null,null,null,null,null,null
1996-01-29,87.052803,92.639297,87.052803,92.021698,34.576332,3235372
1996-01-30,93.762199,95.446503,90.954903,92.807701,34.871662,3201977
1996-01-31,93.200699,97.130898,92.498901,93.734100,35.219753,3476534
1996-02-01,92.948097,96.148300,92.948097,95.839500,36.010838,1847538
1996-02-02,97.832703,104.009003,96.569397,102.830002,38.637459,3973372
1996-02-05,107.237000,113.413002,103.026001,106.844002,40.145676,6892154
1996-02-06,107.517998,108.079002,96.008003,97.804604,36.749214,4002404
1996-02-07,97.804604,103.306999,96.288696,101.651001,38.194458,4535043
1996-02-08,102.183998,117.005997,101.903000,116.417000,43.742653,11450974
1996-02-09,124.080002,125.203003,118.494003,123.209999,46.295059,11968296
1996-02-12,120.655998,122.677002,114.536003,116.276001,43.689674,8375901
1996-02-13,115.658997,118.747002,113.581001,116.332001,43.710709,7238578
1996-02-14,120.711998,124.641998,118.466003,119.616997,44.945019,6725710
1996-02-15,116.781998,122.114998,115.939003,117.960999,44.322788,5569952
1996-02-16,117.343002,117.343002,114.817001,115.489998,43.394337,3611898
1996-02-19,116.781998,118.438004,115.658997,116.192001,43.658108,2468519
1996-02-20,116.192001,116.361000,110.184998,111.728996,41.981174,3523199
1996-02-21,null,null,null,null,null,null
1996-02-22,114.254997,117.343002,114.254997,116.753998,43.869270,3295396
1996-02-23,116.500999,117.287003,114.424004,115.742996,43.489407,2908095
1996-02-26,116.248001,120.094002,115.883003,116.445000,43.753178,7000801
1996-02-27,116.668999,116.668999,113.694000,114.564003,43.046394,4027251
1996-02-28,117.343002,118.128998,115.433998,115.686996,43.468361,3392644
1996-02-29,114.845001,115.097000,107.097000,108.360001,40.715302,6702466
1996-03-01,109.735001,110.578003,107.573997,109.595001,41.179344,5607979
1996-03-04,109.483002,110.521004,107.797997,109.033997,40.968548,3652329
1996-03-05,null,null,null,null,null,null
1996-03-06,109.763000,111.587997,109.370003,111.055000,41.727917,2477959
1996-03-07,111.503998,113.075996,109.763000,110.240997,41.422073,3227179
1996-03-08,109.483002,110.043999,108.219002,109.707001,41.221424,2487042
1996-03-11,108.079002,109.202003,106.422997,107.601997,40.430500,3201888
1996-03-12,107.797997,107.911003,98.281799,106.113998,39.871380,2294238
1996-03-13,107.517998,110.746002,106.788002,110.324997,41.453629,3583400
1996-03-14,110.324997,111.953003,108.808998,109.202003,41.031681,3237243
1996-03-15,109.061996,109.707001,106.535004,106.900002,40.166721,3323982
1996-03-18,105.833000,106.647003,102.183998,102.492996,38.510826,3500935
1996-03-19,102.211998,103.587997,96.008003,98.057297,36.844154,3195743
1996-03-20,null,null,null,null,null,null
1996-03-21,101.342003,104.990997,101.342003,104.149002,39.133053,2355597
1996-03-22,103.166000,103.643997,100.639999,102.492996,38.510826,2895805
1996-03-25,103.867996,108.304001,103.671997,105.553001,39.660595,6199127
1996-03-26,105.581001,109.959999,105.244003,108.416000,40.736355,7717071
1996-03-27,111.167000,113.244003,110.408997,111.419998,41.865078,5438685
1996-03-28,111.728996,113.103996,111.728996,112.766998,42.371193,2545195
1996-03-29,112.290001,113.188004,110.184998,110.774002,41.622353,2830617
1996-04-01,111.728996,112.738998,110.690002,112.206001,42.160397,3088164
1996-04-02,112.290001,114.817001,111.728996,112.710999,42.350143,5286223
1996-04-03,115.658997,117.033997,114.536003,114.817001,43.141460,4335025
1996-04-04,113.834000,113.834000,112.150002,113.609001,42.687572,2445543
1996-04-05,null,null,null,null,null,null
1996-04-08,117.764000,119.027000,116.248001,118.268997,44.438507,4764004
1996-04-09,120.066002,122.396004,119.055000,119.898003,45.050606,5484281
1996-04-10,121.273003,123.772003,121.273003,122.255997,45.936604,12639059
1996-04-11,121.273003,122.508003,120.459000,120.683998,45.345932,9755721
1996-04-12,120.711998,121.806999,120.150002,121.582001,45.683353,4667201
1996-04-15,122.958000,123.462997,120.851997,121.301003,45.577770,5324873
1996-04-16,121.273003,121.834999,119.307999,119.870003,45.040092,5180782
1996-04-17,121.862999,128.291000,121.862999,126.972000,47.708599,12038560
1996-04-18,130.255997,133.625000,129.134003,132.811005,49.902546,12942470
1996-04-19,132.501999,135.309006,130.817993,132.052994,49.617733,11525870
1996-04-22,133.343994,133.343994,127.476997,128.263000,48.193680,8039985
1996-04-23,127.167999,129.695007,125.820999,128.291000,48.204189,8803366
1996-04-24,134.186996,141.766006,134.186996,140.923996,52.950924,13501914
1996-04-25,142.608002,145.134995,132.501999,135.701996,50.988819,13210614
1996-04-26,136.432007,139.940994,132.250000,137.218002,51.558445,11947902
1996-04-29,136.151993,138.537994,134.186996,137.302994,51.590374,12056460
1996-04-30,137.554993,138.369003,133.625000,135.085007,50.756989,8224775
1996-05-01,139.296005,140.306000,137.330994,137.891998,51.811676,6005699
1996-05-02,136.994003,137.022003,134.522995,136.516998,51.295044,6248285
1996-05-03,134.748001,135.871002,133.091995,133.794006,50.271908,6336806
1996-05-06,130.537003,131.378998,126.495003,127.139999,47.771717,8803900
1996-05-07,127.448997,129.076996,123.574997,125.288002,47.075844,7510463
1996-05-08,122.958000,128.852997,122.396004,127.336998,47.845741,8852524
1996-05-09,125.484001,127.617996,123.098000,123.912003,46.558826,6212841
1996-05-10,121.806999,123.744003,120.739998,123.237999,46.305573,6812271
1996-05-13,124.641998,125.737000,123.574997,125.119003,47.012363,5190043
1996-05-14,124.978996,129.695007,124.080002,128.460007,48.267700,6636477
1996-05-15,133.035995,135.871002,130.677994,134.973007,50.714897,17281502
1996-05-16,138.117004,140.306000,137.134003,137.863998,51.801159,16028497
1996-05-17,135.337997,137.274994,134.888000,136.123993,51.147377,13792323
1996-05-20,133.625000,133.934006,131.098999,131.434998,49.385521,8354172
1996-05-21,130.397003,134.550995,130.283997,131.434998,49.385521,12455961
1996-05-22,132.501999,133.287994,131.968994,132.250000,49.691750,9298512
1996-05-23,131.940994,132.220993,131.070999,131.492004,49.406940,5867218
1996-05-24,132.501999,132.755005,131.660004,132.278000,49.702282,4740849
1996-05-27,131.520004,131.800003,128.740005,129.162003,48.531467,8996704
1996-05-28,127.758003,128.572006,125.400002,127.617996,47.951317,13261554
1996-05-29,130.255997,136.684998,130.255997,135.337997,50.852051,22328523
1996-05-30,136.432007,136.684998,131.940994,132.643005,49.839428,19866238
1996-05-31,137.134003,137.274994,134.832001,136.039001,51.115437,23704335
1996-06-03,138.089005,142.046997,137.246002,141.542007,53.183140,27697211
1996-06-04,143.309998,144.798004,139.520004,140.727005,52.876915,32129751
1996-06-05,142.046997,142.328003,138.117004,139.940994,52.581570,26435478
1996-06-06,141.990997,145.921005,141.990997,143.647003,53.974079,31662479
1996-06-07,142.074997,143.393997,141.205002,142.860992,55.414707,16599429
1996-06-10,143.197998,144.151993,141.542007,142.046997,55.098953,19652327
1996-06-11,141.205002,144.854004,138.453995,141.850006,55.022560,33905866
1996-06-12,144.011993,146.819000,143.871994,144.770004,56.155186,19629797
1996-06-13,144.011993,145.106995,143.225998,143.759003,55.763039,11642176
1996-06-14,144.544998,149.317993,144.292999,148.531998,57.614445,26757056
1996-06-17,149.345993,150.132004,146.567001,146.988007,57.015549,22759906
1996-06-18,145.977005,148.223007,145.134995,146.537994,56.840988,20652238
1996-06-19,148.223007,148.699997,144.572998,145.556000,56.460091,18762222
1996-06-20,144.292999,147.240005,143.759003,146.707001,56.906536,14506901
1996-06-21,145.500000,146.735001,140.923996,144.460999,56.035328,14023064
1996-06-24,143.225998,145.977005,142.186996,143.535004,55.676151,12123875
1996-06-25,143.703003,144.123993,138.117004,139.800995,54.227764,14130198
1996-06-26,140.363007,140.643005,137.554993,138.061005,53.552830,11737198
1996-06-27,137.302994,139.744995,136.264008,139.268005,54.021000,12757324
1996-06-28,137.891998,140.250000,136.151993,136.628998,52.997364,12928399
1996-07-01,136.179993,136.235992,133.653000,134.494995,52.169609,9930358
1996-07-02,134.748001,135.871002,131.378998,132.192993,51.276669,11238222
1996-07-03,130.397003,130.985992,128.067001,128.852997,49.981113,13528987
1996-07-04,128.095001,132.220993,126.607002,129.975998,50.416714,14427998
1996-07-05,130.789993,132.192993,128.712006,129.723007,50.318581,11035621
1996-07-08,131.940994,132.052994,129.162003,129.835007,50.362030,4971858
1996-07-09,129.667007,129.667007,122.396004,124.501999,48.293392,10395582
1996-07-10,123.518997,126.045998,121.834999,124.613998,48.336838,11856175
1996-07-11,125.203003,129.639008,125.203003,127.196999,49.338764,18536912
1996-07-12,126.495003,127.392998,123.912003,124.753998,48.391148,12118799
1996-07-15,123.546997,129.835007,122.958000,128.067001,49.676235,14917089
1996-07-16,129.134003,131.520004,122.424004,124.137001,48.151806,20876835
1996-07-17,122.958000,129.807007,122.958000,126.888000,49.218906,11979071
