Gmt time,Open,High,Low,Close,Volume
15.12.2017 00:00:00.000,1.17745,1.18123,1.17488,1.17492,200470343750
16.12.2017 00:00:00.000,1.17492,1.17492,1.17492,1.17492,0
17.12.2017 00:00:00.000,1.17441,1.17509,1.17377,1.17432,8501299804.6875
18.12.2017 00:00:00.000,1.17432,1.18342,1.17420,1.17837,199837203125
19.12.2017 00:00:00.000,1.17837,1.18487,1.17764,1.18369,207806687500
20.12.2017 00:00:00.000,1.18368,1.19017,1.18289,1.18776,198896218750
21.12.2017 00:00:00.000,1.18776,1.18895,1.18493,1.18521,187995500000
22.12.2017 00:00:00.000,1.18521,1.18640,1.18169,1.18607,178403750000
23.12.2017 00:00:00.000,1.18607,1.18607,1.18607,1.18607,0
24.12.2017 00:00:00.000,1.18440,1.18515,1.18440,1.18505,198100006.1035
25.12.2017 00:00:00.000,1.18505,1.18766,1.18429,1.18710,9768089843.75
26.12.2017 00:00:00.000,1.18712,1.18787,1.18465,1.18571,105017757812.5
27.12.2017 00:00:00.000,1.18570,1.19102,1.18550,1.19002,180147875000
28.12.2017 00:00:00.000,1.19001,1.19589,1.18970,1.19394,175111265625
29.12.2017 00:00:00.000,1.19395,1.20254,1.19369,1.19985,171777125000
30.12.2017 00:00:00.000,1.19985,1.19985,1.19985,1.19985,0
31.12.2017 00:00:00.000,1.19985,1.19985,1.19985,1.19985,0
01.01.2018 00:00:00.000,1.20102,1.20166,1.20007,1.20106,8573219726.5625
02.01.2018 00:00:00.000,1.20105,1.20811,1.20078,1.20614,197155906250
03.01.2018 00:00:00.000,1.20614,1.20638,1.20011,1.20107,194931656250
04.01.2018 00:00:00.000,1.20108,1.20889,1.20044,1.20664,210213437500
05.01.2018 00:00:00.000,1.20663,1.20829,1.20205,1.20304,189702343750
06.01.2018 00:00:00.000,1.20304,1.20304,1.20304,1.20304,0
07.01.2018 00:00:00.000,1.20265,1.20389,1.20259,1.20370,5754060058.5938
08.01.2018 00:00:00.000,1.20371,1.20521,1.19560,1.19698,183382046875
09.01.2018 00:00:00.000,1.19698,1.19755,1.19156,1.19284,205626343750
10.01.2018 00:00:00.000,1.19282,1.20179,1.19231,1.19558,253338203125
11.01.2018 00:00:00.000,1.19557,1.20589,1.19291,1.20427,246792656250
12.01.2018 00:00:00.000,1.20427,1.22184,1.20401,1.21993,276488125000
13.01.2018 00:00:00.000,1.21993,1.21993,1.21993,1.21993,0
14.01.2018 00:00:00.000,1.21933,1.22117,1.21908,1.21919,7288700195.3125
15.01.2018 00:00:00.000,1.21920,1.22964,1.21876,1.22665,231018859375
16.01.2018 00:00:00.000,1.22666,1.22828,1.21952,1.22707,262608375000
17.01.2018 00:00:00.000,1.22707,1.23231,1.21650,1.21802,289569593750
18.01.2018 00:00:00.000,1.21804,1.22648,1.21734,1.22340,254020750000
19.01.2018 00:00:00.000,1.22340,1.22953,1.22145,1.22145,252174531250
20.01.2018 00:00:00.000,1.22145,1.22145,1.22145,1.22145,0
21.01.2018 00:00:00.000,1.22702,1.22726,1.22338,1.22560,9384160156.25
22.01.2018 00:00:00.000,1.22559,1.22670,1.22138,1.22562,233047953125
23.01.2018 00:00:00.000,1.22564,1.23152,1.22230,1.23086,257732125000
24.01.2018 00:00:00.000,1.23087,1.24149,1.22920,1.23923,296230281250
25.01.2018 00:00:00.000,1.23921,1.25373,1.23639,1.23914,367825875000
26.01.2018 00:00:00.000,1.23914,1.24936,1.23861,1.24283,317662375000
27.01.2018 00:00:00.000,1.24283,1.24283,1.24283,1.24283,0
28.01.2018 00:00:00.000,1.24232,1.24312,1.24128,1.24312,9490519531.25
29.01.2018 00:00:00.000,1.24311,1.24322,1.23367,1.23809,283885000000
30.01.2018 00:00:00.000,1.23810,1.24538,1.23350,1.24084,300948093750
31.01.2018 00:00:00.000,1.24084,1.24748,1.23868,1.24168,321338937500
01.02.2018 00:00:00.000,1.24168,1.25229,1.23854,1.25105,298223156250
02.02.2018 00:00:00.000,1.25107,1.25182,1.24092,1.24559,299589687500
