Timestamp, Close, Volume, Open, High, Low
2020-12-21 00:00:00, $222.59,37181890, $217.55, $224, $217.2801
2020-12-18 00:00:00, $218.59,63354920, $218.59, $219.69, $216.02
2020-12-17 00:00:00, $219.42,32515780, $219.87, $220.89, $217.92
2020-12-16 00:00:00, $219.28,35023250, $214.75, $220.11, $214.72
2020-12-15 00:00:00, $214.13,27018110, $215.165, $215.42, $212.24
2020-12-14 00:00:00, $214.2,28798380, $213.1, $216.21, $212.88
2020-12-11 00:00:00, $213.26,30979440, $210.05, $213.32, $209.11
2020-12-10 00:00:00, $210.52,26467020, $211.77, $213.08, $210.36
2020-12-09 00:00:00, $211.8,32440600, $215.16, $215.225, $211.214
2020-12-08 00:00:00, $216.01,23284090, $213.97, $216.95, $212.89
2020-12-07 00:00:00, $214.29,24620000, $214.37, $215.54, $212.99
2020-12-04 00:00:00, $214.36,24666040, $214.22, $215.38, $213.18
2020-12-03 00:00:00, $214.24,25120920, $214.61, $216.3757, $213.65
2020-12-02 00:00:00, $215.37,23724510, $214.88, $215.47, $212.8
2020-12-01 00:00:00, $216.21,30931320, $214.51, $217.32, $213.35
2020-11-30 00:00:00, $214.07,33064750, $214.1, $214.76, $210.835
2020-11-27 00:00:00, $215.23,14512210, $214.85, $216.27, $214.04
2020-11-25 00:00:00, $213.87,21012890, $215.11, $215.29, $212.46
2020-11-24 00:00:00, $213.86,33979730, $209.59, $214.25, $208.86
2020-11-23 00:00:00, $210.11,25683510, $210.95, $212.29, $208.16
2020-11-20 00:00:00, $210.39,22843120, $212.2, $213.285, $210
2020-11-19 00:00:00, $212.42,24792750, $211.38, $213.03, $209.93
2020-11-18 00:00:00, $211.08,28372790, $213.65, $215.17, $210.93
2020-11-17 00:00:00, $214.46,24154110, $216.1, $217.68, $214.08
2020-11-16 00:00:00, $217.23,24953340, $214.87, $217.74, $214.52
2020-11-13 00:00:00, $216.51,18630310, $216.36, $217.42, $214.16
2020-11-12 00:00:00, $215.44,21616120, $217.21, $219.11, $214.46
2020-11-11 00:00:00, $216.55,29440790, $212.39, $218.04, $212.2
2020-11-10 00:00:00, $211.01,44045120, $214.5, $216.5, $209.72
2020-11-09 00:00:00, $218.39,44394950, $224.435, $228.12, $217.88
2020-11-06 00:00:00, $223.72,25231900, $222.26, $224.36, $218.03
2020-11-05 00:00:00, $223.29,36080140, $222.04, $224.12, $221.15
2020-11-04 00:00:00, $216.39,42311780, $214.02, $218.32, $212.4185
2020-11-03 00:00:00, $206.43,27512030, $203.89, $208.12, $203.12
2020-11-02 00:00:00, $202.33,30842160, $204.29, $205.28, $200.12
2020-10-30 00:00:00, $202.47,36980110, $203.5, $204.29, $199.62
2020-10-29 00:00:00, $204.72,31432560, $204.07, $207.36, $203.37
2020-10-28 00:00:00, $202.68,51195590, $207.67, $208.84, $202.1
2020-10-27 00:00:00, $213.25,36700330, $211.59, $214.67, $210.329
2020-10-26 00:00:00, $210.08,37111560, $213.85, $216.3399, $208.1
2020-10-23 00:00:00, $216.23,18879610, $215.03, $216.28, $213.16
2020-10-22 00:00:00, $214.89,22351450, $213.93, $216.055, $211.7
2020-10-21 00:00:00, $214.8,22724910, $213.12, $216.92, $213.12
2020-10-20 00:00:00, $214.65,22753510, $215.8, $217.37, $213.0901
2020-10-19 00:00:00, $214.22,27625840, $220.415, $222.3, $213.72
2020-10-16 00:00:00, $219.66,26057880, $220.15, $222.29, $219.32
2020-10-15 00:00:00, $219.66,22733060, $217.1, $220.36, $216.01
2020-10-14 00:00:00, $220.86,23451710, $223, $224.22, $219.13
2020-10-13 00:00:00, $222.86,28950840, $222.72, $225.21, $220.43
2020-10-12 00:00:00, $221.4,40461370, $218.79, $223.86, $216.81
2020-10-09 00:00:00, $215.81,26458050, $211.23, $215.86, $211.23
2020-10-08 00:00:00, $210.58,19925840, $210.51, $211.19, $208.32
2020-10-07 00:00:00, $209.83,25681050, $207.06, $210.11, $206.72
2020-10-06 00:00:00, $205.91,28554260, $208.82, $210.18, $204.82
2020-10-05 00:00:00, $210.38,21331560, $207.22, $210.41, $206.98
2020-10-02 00:00:00, $206.19,33154780, $208, $210.99, $205.54
2020-10-01 00:00:00, $212.46,27158420, $213.49, $213.99, $211.32
2020-09-30 00:00:00, $210.33,33829090, $207.73, $211.98, $206.54
2020-09-29 00:00:00, $207.26,24464470, $209.35, $210.07, $206.81
2020-09-28 00:00:00, $209.44,32004940, $210.88, $212.57, $208.06
2020-09-25 00:00:00, $207.82,29437310, $203.55, $209.04, $202.54
2020-09-24 00:00:00, $203.19,31202490, $199.85, $205.57, $199.2
2020-09-23 00:00:00, $200.59,30803780, $207.9, $208.1, $200.03
2020-09-22 00:00:00, $207.42,33517070, $205.06, $208.1, $202.075
2020-09-21 00:00:00, $202.54,39839660, $197.19, $202.71, $196.38
2020-09-18 00:00:00, $200.39,55225330, $202.8, $203.65, $196.25
2020-09-17 00:00:00, $202.91,34011260, $200.05, $204.33, $199.96
2020-09-16 00:00:00, $205.05,26372460, $210.62, $210.65, $204.64
2020-09-15 00:00:00, $208.78,21823940, $208.42, $209.78, $206.93
2020-09-14 00:00:00, $205.41,30375770, $204.24, $209.2, $204.03
2020-09-11 00:00:00, $204.03,33620070, $207.2, $208.63, $201.24
2020-09-10 00:00:00, $205.37,35461510, $213.4, $214.74, $204.11
2020-09-09 00:00:00, $211.29,45678990, $207.6, $214.8399, $206.7
2020-09-08 00:00:00, $202.66,52924330, $206.5, $210.03, $202.2
2020-09-04 00:00:00, $214.25,59664070, $215.1, $218.3599, $205.19
2020-09-03 00:00:00, $217.3,58400290, $229.27, $229.31, $214.9602
2020-09-02 00:00:00, $231.65,34080840, $227.97, $232.86, $227.35
2020-09-01 00:00:00, $227.27,25791240, $225.51, $227.45, $224.43
2020-08-31 00:00:00, $225.53,28774160, $227, $228.7, $224.31
2020-08-28 00:00:00, $228.91,26292900, $228.18, $230.644, $226.58
2020-08-27 00:00:00, $226.58,57602200, $222.89, $231.15, $219.4
